=== Supabaseデータベース情報 ===
=== 更新日: 2025年 8月20日 水曜日 11時50分55秒 JST ===

=== テーブル構造 ===
| table_name            | column_name              | data_type                   | is_nullable | column_default                 |
| --------------------- | ------------------------ | --------------------------- | ----------- | ------------------------------ |
| game_attendances      | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_attendances      | game_id                  | uuid                        | NO          | null                           |
| game_attendances      | team_member_id           | uuid                        | YES         | null                           |
| game_attendances      | status                   | character varying           | YES         | 'pending'::character varying   |
| game_attendances      | responded_at             | timestamp with time zone    | YES         | null                           |
| game_attendances      | created_at               | timestamp with time zone    | YES         | now()                          |
| game_attendances      | updated_at               | timestamp with time zone    | YES         | now()                          |
| game_attendances      | person_name              | text                        | YES         | null                           |
| game_batting_records  | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_batting_records  | game_id                  | uuid                        | NO          | null                           |
| game_batting_records  | player_id                | uuid                        | NO          | null                           |
| game_batting_records  | inning                   | integer                     | NO          | null                           |
| game_batting_records  | batting_order            | integer                     | YES         | null                           |
| game_batting_records  | result                   | character varying           | YES         | null                           |
| game_batting_records  | rbi                      | integer                     | YES         | 0                              |
| game_batting_records  | run_scored               | boolean                     | YES         | false                          |
| game_batting_records  | stolen_base              | boolean                     | YES         | false                          |
| game_batting_records  | notes                    | text                        | YES         | null                           |
| game_batting_records  | created_at               | timestamp with time zone    | YES         | now()                          |
| game_batting_records  | base_reached             | integer                     | YES         | null                           |
| game_batting_records  | stolen_bases_detail      | jsonb                       | YES         | '[]'::jsonb                    |
| game_operation_tasks  | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_operation_tasks  | game_id                  | uuid                        | NO          | null                           |
| game_operation_tasks  | task_type                | character varying           | NO          | null                           |
| game_operation_tasks  | person_name              | text                        | NO          | null                           |
| game_operation_tasks  | team_member_id           | uuid                        | YES         | null                           |
| game_operation_tasks  | created_at               | timestamp with time zone    | YES         | now()                          |
| game_operation_tasks  | updated_at               | timestamp with time zone    | YES         | now()                          |
| game_pitching_records | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_pitching_records | game_id                  | uuid                        | NO          | null                           |
| game_pitching_records | player_id                | uuid                        | NO          | null                           |
| game_pitching_records | innings_pitched          | numeric                     | YES         | null                           |
| game_pitching_records | hits_allowed             | integer                     | YES         | 0                              |
| game_pitching_records | runs_allowed             | integer                     | YES         | 0                              |
| game_pitching_records | earned_runs              | integer                     | YES         | 0                              |
| game_pitching_records | strikeouts               | integer                     | YES         | 0                              |
| game_pitching_records | walks                    | integer                     | YES         | 0                              |
| game_pitching_records | home_runs_allowed        | integer                     | YES         | 0                              |
| game_pitching_records | created_at               | timestamp with time zone    | YES         | now()                          |
| game_players          | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_players          | game_id                  | uuid                        | NO          | null                           |
| game_players          | player_name              | text                        | NO          | null                           |
| game_players          | team_member_id           | uuid                        | YES         | null                           |
| game_players          | is_starter               | boolean                     | YES         | true                           |
| game_players          | batting_order            | integer                     | YES         | null                           |
| game_players          | position                 | character varying           | YES         | null                           |
| game_players          | is_active                | boolean                     | YES         | true                           |
| game_players          | created_at               | timestamp with time zone    | YES         | now()                          |
| game_players          | updated_at               | timestamp with time zone    | YES         | now()                          |
| game_runners          | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_runners          | game_id                  | uuid                        | NO          | null                           |
| game_runners          | inning                   | integer                     | NO          | null                           |
| game_runners          | player_id                | uuid                        | NO          | null                           |
| game_runners          | player_name              | text                        | NO          | null                           |
| game_runners          | current_base             | integer                     | NO          | null                           |
| game_runners          | is_active                | boolean                     | YES         | true                           |
| game_runners          | created_at               | timestamp with time zone    | YES         | now()                          |
| game_runners          | updated_at               | timestamp with time zone    | YES         | now()                          |
| game_scores           | id                       | uuid                        | NO          | gen_random_uuid()              |
| game_scores           | game_id                  | uuid                        | YES         | null                           |
| game_scores           | inning                   | integer                     | NO          | null                           |
| game_scores           | top_score                | integer                     | YES         | null                           |
| game_scores           | bottom_score             | integer                     | YES         | null                           |
